"Doença"," Precaução_1"," Precaução_2"," Precaução_3"," Precaução_4"
" Reação medicamentosa"," pare a irritação"," consulte o hospital mais próximo"," pare de tomar drogas"," seguir"
" Malária"," Consulte o hospital mais próximo"," evite alimentos gordurosos"," evite alimentos não vegetarianos"," manter os mosquitos afastados"
" Alergia"," aplicar calamina"," cobrir a área com bandagem",""," use gelo para comprimir a coceira"
" Hipotireoidismo"," reduzir o estresse"," exercício"," coma saudável"," durma bem"
" Psoríase"," lave as mãos com água morna e sabão"," pare o sangramento usando pressão"," consultar um médico"," banhos de sal"
" DRGE"," evite alimentos gordurosos e picantes"," evite deitar depois de comer"," manter um peso saudável"," exercício"
" Colestase crônica"," banhos frios"," remédio contra coceira"," consultar um médico"," coma saudável"
" hepatite A"," Consulte o hospital mais próximo"," lave as mãos completamente"," evite alimentos gordurosos e picantes"," medicamento"
" Osteoartrite"," paracetamol"," consulte o hospital mais próximo"," seguir"," banhos de sal"
" (vertigem) Vertigem posicional paromsal"," deitar-se"," evitar mudanças repentinas no corpo","evite movimentos bruscos da cabeça"," relaxar"
" Hipoglicemia"," deite-se de lado"," verifique o pulso"," beber bebidas açucaradas"," consultar um médico"
" Acne"," tomar banho duas vezes"," evite alimentos gordurosos e picantes"," beba bastante água"," evite muitos produtos"
" Diabetes"," ter uma dieta balanceada"," exercício"," consultar um médico"," seguir"
" Impetigo"," mergulhe a área afetada em água morna"," usar antibióticos"," remover crostas com pano úmido comprimido"," consultar um médico"
" Hipertensão"," meditação"," banhos de sal"," reduzir o estresse"," durma bem"
" Doença de úlcera péptica"," evite alimentos gordurosos e picantes"," consumir alimentos probióticos"," eliminar leite"," limitar o álcool"
" Hemorroidas dimórficas (pilhas)"," evite alimentos gordurosos e picantes"," consumir hamamélis"," banho morno com sal de Epsom"," consumir suco de alovera"
" Gripe comum"," beba bebidas ricas em vitamina C"," tomar vapor"," evite comida fria"," manter a febre sob controle"
" Catapora"," usar nim no banho"," consumir folhas de nim"," tomar vacina"," evite locais públicos"
" Espondilose cervical"," use bolsa térmica ou bolsa fria"," exercício"," tomar analgésico de venda livre"," consultar um médico"
" Hipertireoidismo"," coma saudável"," massagem"," usar erva cidreira","fazer tratamento com iodo radioativo"
" Infecção do trato urinário"," beba bastante água"," aumentar a ingestão de vitamina C"," beber suco de cranberry"," tomar probióticos"
" Varizes"," deite-se e levante a perna bem alto"," usar pomadas"," usar compressão venosa"," não fique parado por muito tempo"
" AIDS"," evitar cortes abertos"," use EPI se possível"," consultar um médico"," seguir"
" Paralisia (hemorragia cerebral)"," massagem"," coma saudável"," exercício"," consultar um médico"
" Tifóide"," coma vegetais ricos em calorias"," terapia antibiótica"," consultar um médico"," medicamento"
" Hepatite B"," consulte o hospital mais próximo"," vacinação"," coma saudável"," medicamento"
" Infecção fúngica"," tomar banho duas vezes"," use detol ou nim na água do banho"," manter a área infectada seca"," use panos limpos"
" Hepatite C"," Consulte o hospital mais próximo"," vacinação"," coma saudável"," medicamento"
" Enxaqueca"," meditação"," reduzir o estresse"," usar óculos poloides no sol"," consultar um médico"
" Asma brônquica"," mudar para roupas largas"," respire fundo"," fique longe do gatilho"," procurar ajuda"
" Hepatite alcoólica"," pare de consumir álcool"," consultar um médico"," medicamento"," seguir"
" Icterícia"," beba bastante água"," consumir cardo mariano"," coma frutas e alimentos ricos em fibras"," medicamento"
" Hepatite E"," pare de consumir álcool"," descansar"," consultar um médico"," medicamento"
" Dengue"," beber suco de folha de mamão"," evite alimentos gordurosos e picantes","manter os mosquitos longe"," mantenha-se hidratado"
" Hepatite D"," consultar um médico"," medicamento"," coma saudável"," seguir"
" Ataque cardíaco"," chamar ambulância"," mastigar ou engolir aspirina"," fique calmo",""
" Pneumonia"," consultar um médico"," medicamento"," descansar"," seguir"
" Artrite"," exercício"," usar terapia quente e fria"," experimente acupuntura"," massagem"
" Gastroenterite"," pare de comer alimentos sólidos por um tempo"," tente tomar pequenos goles de água"," descansar"," volte a comer devagar"
" Tuberculose"," cobrir a boca"," consultar um médico"," medicamento"," descansar"
